,dataset,cluster,dist_metric,inside_avg,outside_avg,out/in ratio,cluster_size
94,tasic,94,0.2,516037546.31567585,1400905869.227668,2.7147363195365077,43
95,tasic,95,0.2,601127096.7232273,1535067198.0364373,2.5536483156459964,122
96,tasic,96,0.2,868863401.6395069,1878262900.0598636,2.161747055423976,183
97,tasic,97,0.2,693683030.3611829,1487110962.1768725,2.1437903150125672,300
98,tasic,98,0.2,768105402.100054,1662665979.3893547,2.164632581470602,180
99,tasic,99,0.2,685685513.425043,1746371765.6926548,2.5468990251367805,241
100,tasic,100,0.2,726454107.1155736,1745650122.3073828,2.4029737119094605,259
101,tasic,101,0.2,692413771.5637145,1541743765.5020065,2.2266220413557134,98
102,tasic,102,0.2,782331126.5818341,1698417529.9408195,2.170970158584327,82
103,tasic,103,0.2,575380034.5928702,1318953749.3986382,2.2923175468399926,65
104,tasic,104,0.2,656428923.2442349,1600000540.8422294,2.4374315088595258,278
105,tasic,105,0.2,801710443.7371336,1586705791.7494028,1.979150707271633,318
106,tasic,106,0.2,688363737.1150911,1577670215.0543902,2.29191360612102,210
107,tasic,107,0.2,668470207.2862499,1376922676.6675525,2.059811584210112,107
108,tasic,108,0.2,574238809.70113,1782094437.2831154,3.1034029870092366,118
109,tasic,109,0.2,475155775.97713804,1662405347.4229836,3.4986533500604438,60
110,tasic,110,0.2,506674957.87726486,1726099755.778005,3.406720085416436,46
111,tasic,111,0.2,540771178.7515242,1704541876.2830775,3.1520575490327443,51
112,tasic,112,0.2,654613295.7701986,1668953347.0903327,2.549525586898891,59
113,tasic,113,0.2,502784860.9861449,1882611533.6506934,3.7443679786980937,46
114,tasic,114,0.2,537932307.1656862,1632598550.776345,3.0349516640455194,16
115,tasic,115,0.2,1055293984.0746891,1914082396.5002747,1.8137906833408084,56
116,tasic,116,0.2,1048030450.6272284,1888951137.209226,1.8023819213255883,18
117,tasic,117,0.2,695956806.2074466,1579952909.5953107,2.270188171885437,583
118,tasic,118,0.2,831419336.9215245,2452012369.3192515,2.9491885266925064,52
119,tasic,119,0.2,1371115136.2219572,2397642637.6216226,1.7486807448047093,4
120,tasic,120,0.2,1285527149.8727841,2244112090.2519293,1.745674597750819,13
121,tasic,121,0.2,661824936.6294115,2159810795.7862186,3.263417070359807,83
122,tasic,122,0.2,694846651.9163727,2626611018.502493,3.780130495352254,37
123,tasic,123,0.2,1125264562.8832095,2814851471.907991,2.501501926529737,12
124,tasic,124,0.2,851268787.6996754,2380532324.1889997,2.796452023833444,80
125,tasic,125,0.2,1170582680.320896,2382278654.124938,2.035122075675915,7
126,tasic,126,0.2,758735098.7578124,1907814586.5072925,2.5144672885579338,40
127,tasic,127,0.2,1137044785.5407472,2330214898.0823197,2.0493607004003223,36
128,tasic,128,0.2,655568121.4955436,2277389919.094386,3.473918032955889,110
129,tasic,129,0.2,906099977.3654484,2242601869.323063,2.475004883946241,183
130,tasic,130,0.2,988434451.6214479,1770883581.4221864,1.791604469590465,7
131,tasic,131,0.2,905485286.7754576,2622387909.1211815,2.896113219530956,30
132,tasic,132,0.2,687232217.0987523,2156328703.977031,3.1377002566618266,106
133,tasic,0,0.4,60136.73336539332,128642.9513022068,2.1391742468046413,68
134,tasic,1,0.4,49165.24205738164,111952.75002708752,2.277071063667813,76
135,tasic,2,0.4,39431.55976485872,125465.34847341086,3.181851015318577,115
136,tasic,3,0.4,68344.31283700584,114583.20026383942,1.6765579388750103,287
137,tasic,4,0.4,50740.99771632013,96850.8374180581,1.9087294648703248,534
138,tasic,5,0.4,41523.77988156334,101676.02106179773,2.4486215212537075,879
139,tasic,6,0.4,55691.823282612175,97743.91236526312,1.7550855153234002,76
140,tasic,7,0.4,43018.731635319586,131679.0121720544,3.0609691910103236,68
141,tasic,8,0.4,48458.69169904603,134863.128029101,2.783053427580587,71
142,tasic,9,0.4,42328.94510426304,134782.68522863515,3.1841730262033128,48
143,tasic,10,0.4,48978.79017587536,118854.2131783105,2.426646569903486,86
144,tasic,11,0.4,52157.50497433361,125174.31086247596,2.3999290403954996,49
145,tasic,12,0.4,59791.691007811765,124927.21133616795,2.0893741125308907,56
146,tasic,13,0.4,62338.740724140545,111303.96701732944,1.7854702505119295,148
147,tasic,14,0.4,54007.258497361894,127339.63413497919,2.357824442083084,213
148,tasic,15,0.4,66988.4943084232,87968.81967463499,1.3131929681777261,80
149,tasic,16,0.4,75173.73708450541,127499.13713976074,1.6960595825698346,289
150,tasic,17,0.4,44033.31933719623,112094.72302376537,2.5456796060585805,128
151,tasic,18,0.4,59042.74291534958,112466.64295937083,1.904834318429546,118
152,tasic,19,0.4,55040.3795323935,120671.7019314178,2.192421326971367,137
153,tasic,20,0.4,57202.22852945661,110377.33519445479,1.929598514463739,366
154,tasic,21,0.4,57295.414406709315,115521.25076570429,2.016239029980324,115
155,tasic,22,0.4,46966.77894126352,104711.9871497557,2.229490493284799,211
156,tasic,23,0.4,52007.85013087403,116448.67413468412,2.2390595620016858,116
157,tasic,24,0.4,55432.19364090501,91282.0803370258,1.646734042826444,289
158,tasic,25,0.4,65938.15557545514,108461.5243398709,1.6448977590183715,242
159,tasic,26,0.4,55352.55303081662,108929.40625972659,1.967920182454492,232
160,tasic,27,0.4,51643.86120638293,133842.5166243114,2.5916442631862915,207
161,tasic,28,0.4,55978.15917852628,126835.73085269378,2.265807463374914,61
162,tasic,29,0.4,31634.18539465801,146325.76152762858,4.625558069604608,179
163,tasic,30,0.4,48551.41212294178,93597.21732193396,1.9277959842841912,67
164,tasic,31,0.4,59852.265716114394,97599.26343859694,1.6306694871255256,178
165,tasic,32,0.4,53345.486318535986,121250.0665645394,2.272920821089386,59
166,tasic,33,0.4,44199.456738214016,95366.25875552959,2.1576341836137938,74
167,tasic,34,0.4,62334.57229721175,116740.28647014024,1.8728015957745183,238
168,tasic,35,0.4,51091.054509614834,105929.01995740921,2.073337905708609,63
169,tasic,36,0.4,44584.854004474684,95977.33807494228,2.1526892981484176,89
170,tasic,37,0.4,46738.4440275532,103116.18104767267,2.2062390649308674,115
171,tasic,38,0.4,44924.951800361974,109196.54591130298,2.430643585251952,555
172,tasic,39,0.4,42674.368331827376,105620.16287830453,2.475025806053489,203
173,tasic,40,0.4,49752.08031123552,111451.51131515112,2.2401377111859584,79
174,tasic,41,0.4,44749.318206611504,134108.4027655296,2.996881475296214,208
175,tasic,42,0.4,42259.2359983383,107047.3631281503,2.533111652381969,61
176,tasic,43,0.4,51590.33337787785,111788.00368079383,2.16684011056864,126
177,tasic,44,0.4,55448.20744566845,106467.0599386954,1.9201172561442739,103
178,tasic,45,0.4,44485.945072473776,106817.65235393032,2.4011550654911242,131
179,tasic,46,0.4,50628.536379630255,118572.0109825851,2.341999580898235,80
180,tasic,47,0.4,52654.2957114652,121753.38005315015,2.312316182526376,71
181,tasic,48,0.4,42741.19353642354,121727.92416228479,2.8480235129266966,165
182,tasic,49,0.4,60522.95665375846,109751.74736047618,1.81339037992389,36
183,tasic,50,0.4,41822.14823753624,114480.67725201354,2.737321779880852,129
184,tasic,51,0.4,50753.44383736362,95242.5969264433,1.8765740750842939,69
185,tasic,52,0.4,48533.656814953705,108272.27148225305,2.2308698455397096,72
186,tasic,53,0.4,47274.291070317624,105493.49711119814,2.2315193887155917,112
187,tasic,54,0.4,42551.0454397172,97500.7428208714,2.2913830157005752,65
188,tasic,55,0.4,48621.98489508986,112205.31268780395,2.3077073659149425,200
189,tasic,56,0.4,52415.345389149814,102612.75154679696,1.957685307326778,810
190,tasic,57,0.4,46823.975323963976,100774.02360019436,2.152188550907154,63
191,tasic,58,0.4,48322.47290074565,104976.18887776828,2.1724092865319484,624
192,tasic,59,0.4,42441.11778029166,117856.8319276068,2.7769492909617917,89
193,tasic,60,0.4,47354.436965167224,114058.16401159065,2.4086056412303893,108
194,tasic,61,0.4,46903.72308883049,101953.90515896297,2.1736846980328934,212
195,tasic,62,0.4,46639.09441178669,102339.94194240207,2.1942952202034736,673
196,tasic,63,0.4,39033.38748090186,95569.32995027797,2.4483995911714773,125
197,tasic,64,0.4,38275.72880797465,113376.34490052343,2.962094999400815,70
198,tasic,65,0.4,30285.85235506461,96036.77717505928,3.1710112051378125,119
199,tasic,66,0.4,54142.66512515681,99705.97536501373,1.841541696082604,1404
200,tasic,67,0.4,54291.00026900377,101973.91797318806,1.8782840151760434,215
201,tasic,68,0.4,39892.94794890572,89057.3618866471,2.2324086452751097,70
202,tasic,69,0.4,41063.79286730104,105300.65973339039,2.56431888972538,435
203,tasic,70,0.4,39537.07447890556,97276.70331067665,2.4603920394407846,49
204,tasic,71,0.4,49683.556135251754,104316.18354265566,2.099611856660974,123
205,tasic,72,0.4,40744.328831843406,87669.44347358451,2.1516968370102876,54
206,tasic,73,0.4,42227.64754972747,113776.83752010469,2.6943683610629874,412
207,tasic,74,0.4,39315.572757253874,88000.49245301315,2.2383113428451002,387
208,tasic,75,0.4,36459.283362883,109898.66772280424,3.0142849114441304,184
209,tasic,76,0.4,39084.1458567182,88636.73644054742,2.2678437636961073,704
210,tasic,77,0.4,33515.605345539705,87265.77953294321,2.6037357414031206,224
211,tasic,78,0.4,38812.374022368735,101699.46596395569,2.6202846006107032,72
212,tasic,79,0.4,38772.54193379198,95286.84524462283,2.4575857163900863,122
213,tasic,80,0.4,31131.898680764843,99412.63073515939,3.1932723331321413,230
214,tasic,81,0.4,40232.51187410299,115700.7150080038,2.8758014257240165,216
215,tasic,82,0.4,52230.17141901089,108521.23052734745,2.077749844180055,174
216,tasic,83,0.4,50215.85338539108,100467.85432109989,2.0007198433936852,1049
217,tasic,84,0.4,51817.38260581465,84103.76853252645,1.6230802156164639,200
218,tasic,85,0.4,48951.06142534273,106794.27327068223,2.1816538837172827,380
219,tasic,86,0.4,60259.329027811415,103848.80690775705,1.7233648064655323,172
220,tasic,87,0.4,55234.56004649259,116080.38922213468,2.1015898221046085,75
221,tasic,88,0.4,30612.802642073533,102695.9928522354,3.354674645538412,91
222,tasic,89,0.4,33874.39264641449,100160.65840712239,2.956825217579927,22
223,tasic,90,0.4,34159.30391789393,97677.48557210798,2.8594694378693366,102
224,tasic,91,0.4,45414.002268757424,97350.47831146639,2.143622527152571,109
225,tasic,92,0.4,35081.34993693462,82124.48172862538,2.340972678538874,220
226,tasic,93,0.4,34630.30830675612,106414.6386919994,3.072875867848935,203
227,tasic,94,0.4,32370.866615356517,90010.3310475352,2.780596890317262,43
228,tasic,95,0.4,37552.75362264834,101612.6071266993,2.7058630146742684,122
229,tasic,96,0.4,53660.28777676739,121751.75391132975,2.268935910627804,183
230,tasic,97,0.4,43116.803402683734,97058.11865583347,2.251050889588727,300
231,tasic,98,0.4,47959.450593715796,106788.22238025736,2.226635648621254,180
232,tasic,99,0.4,43007.603975027654,113357.81277597393,2.6357621048081428,241
233,tasic,100,0.4,45319.52943372586,111893.92823769475,2.469000222107902,259
234,tasic,101,0.4,42421.21423929517,97172.83091483953,2.2906659476245594,98
235,tasic,102,0.4,48716.09684476346,109325.74680417567,2.2441401073765865,82
236,tasic,103,0.4,35637.08190955693,85805.34706296858,2.4077545765596997,65
237,tasic,104,0.4,41093.79538210627,101050.09193835364,2.4590109285051467,278
238,tasic,105,0.4,49364.99165259862,101161.07333753673,2.049247248929931,318
239,tasic,106,0.4,42770.63974975503,101479.46008633228,2.372643025217165,210
240,tasic,107,0.4,41200.27150447546,89017.25880789103,2.160598839699912,107
241,tasic,108,0.4,35826.7087193867,113773.66750191225,3.175666187844561,118
242,tasic,109,0.4,29344.03678310659,108243.80428334193,3.6887836899679076,60
243,tasic,110,0.4,31608.661302722547,111081.24401688697,3.5142660093396367,46
