,dataset,cluster,dist_metric,inside_avg,outside_avg,out/in ratio,cluster_size
89,harris,40,0.2,5259682.330751726,5044645.95669424,0.9591160909471212,69
90,harris,41,0.2,3279391.398187964,4957861.632905003,1.5118236986425229,61
91,harris,42,0.2,4268450.827227701,5479214.080741756,1.283654024029235,171
92,harris,43,0.2,3971924.926218816,6028805.588509179,1.5178548689862743,85
93,harris,44,0.2,3261885.7768523837,5092497.276822108,1.5612126313436414,264
94,harris,45,0.2,3654772.1423178627,4599805.192173107,1.2585750938924205,158
95,harris,46,0.2,4617146.453089759,5332229.97485395,1.1548756421372908,93
96,harris,47,0.2,15502173.355606535,17552753.06545719,1.1322769177464425,18
97,harris,48,0.2,7077586.615499963,5681548.197028025,0.8027521958665113,56
98,harris,0,0.4,204.02442964826284,344.32808965213866,1.6876806872870993,270
99,harris,1,0.4,220.52270311878436,321.5052220660456,1.457923458760013,86
100,harris,2,0.4,325.57658421342774,477.4453250045624,1.4664608824926395,47
101,harris,3,0.4,321.59927361396785,449.7596360982196,1.3985094899128696,85
102,harris,4,0.4,267.90103833808445,356.29025944187345,1.3299323573066708,106
103,harris,5,0.4,226.4313808007708,411.7855568406588,1.8185887282247983,25
104,harris,6,0.4,301.25135296724227,363.87492967047154,1.2078781591730774,50
105,harris,7,0.4,220.3174364265078,297.3798482333533,1.3497789964188853,51
106,harris,8,0.4,274.1439660895201,309.0270014390686,1.1272434912470686,50
107,harris,9,0.4,308.47743306076103,365.24653952980134,1.1840300144674065,121
108,harris,10,0.4,242.0444794294346,315.60735832080405,1.3039229775650218,101
109,harris,11,0.4,243.911822317598,408.25215958962343,1.6737694618920014,60
110,harris,12,0.4,218.5102231017574,394.9366029315117,1.8074056093366158,31
111,harris,13,0.4,188.22665004346413,343.14409436090665,1.8230367181356621,72
112,harris,14,0.4,168.2878735000109,326.77262836470453,1.9417479202069978,48
113,harris,15,0.4,268.4818802452996,374.6129602661932,1.3953007179625179,36
114,harris,16,0.4,397.4298015613885,520.7271024146122,1.3102366766881188,118
115,harris,17,0.4,155.32491891679635,369.656984262707,2.379894912166173,119
116,harris,18,0.4,318.9697912568665,421.8210870524275,1.3224483904581887,72
117,harris,19,0.4,266.0316521316147,323.46643440620295,1.2158945441806803,66
118,harris,20,0.4,263.1044435244632,349.15076079249485,1.3270424327137262,61
119,harris,21,0.4,215.98014459863202,355.5107261100042,1.6460342999152522,58
120,harris,22,0.4,193.1935934885075,351.19425676419183,1.8178359355642055,49
121,harris,23,0.4,229.59735876303677,415.7958629414596,1.8109784240619025,17
122,harris,24,0.4,258.86822425179065,398.6880296945787,1.540119614320802,71
123,harris,25,0.4,227.0220763324209,416.686383388605,1.8354443326404297,74
124,harris,26,0.4,205.37786836940919,407.53753798613513,1.984330352738423,72
125,harris,27,0.4,262.038063326282,492.1869648811651,1.8783033221715908,48
126,harris,28,0.4,203.89554051633291,396.27365447122446,1.9435131021881336,67
127,harris,29,0.4,264.8991356305737,406.5402039566791,1.5346981143933853,29
128,harris,30,0.4,248.9019271317912,355.37604698729535,1.4277753936357718,115
129,harris,31,0.4,393.6474015793364,532.0082683360896,1.3514842628241448,57
130,harris,32,0.4,257.8275336931821,318.67721772704914,1.236009254567353,52
131,harris,33,0.4,311.9511673605273,400.6048527145685,1.2841909075197742,76
132,harris,34,0.4,266.32712597965343,354.8863761914372,1.3325205792914592,83
133,harris,35,0.4,434.3595657481468,424.475406506746,0.9772442924691295,27
134,harris,36,0.4,231.096474660557,306.52805348842395,1.3264073107937437,22
135,harris,37,0.4,341.39641504208953,331.1729404162541,0.9700539485027252,27
136,harris,38,0.4,273.32263457013585,349.8459216055336,1.2799742039503923,34
